accuracy,precision,recall,specificity,roc_auc,pr_auc,f1,mcc
0.954424,0.978363,0.929401,0.979446,0.990434,0.988468,0.953254,0.909987
0.941019,0.954839,0.925827,0.956211,0.985976,0.982208,0.940109,0.882445
0.953083,0.970315,0.934763,0.971403,0.989730,0.987933,0.952208,0.906775
0.950402,0.960695,0.939231,0.961573,0.990224,0.987760,0.949842,0.901029
0.940072,0.958101,0.920394,0.959750,0.985259,0.980468,0.938869,0.880826
