accuracy,precision,recall,specificity,roc_auc,pr_auc,f1,mcc
0.980786,0.973592,0.988382,0.973190,0.995800,0.996098,0.980931,0.961684
0.983467,0.983036,0.983914,0.983021,0.997143,0.997493,0.983475,0.966935
0.979446,0.979446,0.979446,0.979446,0.995433,0.996880,0.979446,0.958892
0.977202,0.975936,0.978552,0.975851,0.994993,0.996162,0.977242,0.954407
0.979437,0.974336,0.984794,0.974079,0.997230,0.997633,0.979537,0.958929
0.980068,0.977269,0.983018,0.977269,0.996120,0.989112,0.980126,0.967910
