accuracy,precision,recall,specificity,roc_auc,pr_auc,f1,mcc
0.967800,0.962000,0.974100,0.961600,0.967800,0.974500,0.968000,0.935700
0.972300,0.975700,0.968700,0.975900,0.972300,0.980000,0.972200,0.944600
0.973200,0.975700,0.970500,0.975900,0.973200,0.980500,0.973100,0.946400
0.979000,0.972700,0.985700,0.972300,0.979000,0.982800,0.979100,0.958100
0.970000,0.987900,0.951700,0.988400,0.970000,0.981900,0.969500,0.940700
