accuracy,precision,recall,specificity,roc_auc,pr_auc,f1,mcc
0.502234,0.502157,0.520107,0.484361,0.503292,0.521285,0.510975,0.004471
0.512064,0.536193,0.178731,0.845397,0.474946,0.515107,0.268097,0.032372
0.500894,0.501873,0.239500,0.762288,0.504025,0.538577,0.324259,0.002097
0.487260,0.491706,0.741734,0.232786,0.521773,0.555419,0.591379,-0.029870
0.524810,0.520599,0.621646,0.427974,0.533250,0.534026,0.566653,0.050665
