accuracy,precision,recall,specificity,roc_auc,pr_auc,f1,mcc
0.936997,0.963068,0.908847,0.965290,0.970645,0.975127,0.935172,0.875383
0.935210,0.964475,0.901698,0.968722,0.965417,0.972136,0.932963,0.872382
0.926720,0.956065,0.894549,0.958891,0.958599,0.968236,0.924284,0.855213
0.936075,0.973786,0.896336,0.975814,0.965080,0.973494,0.933457,0.874929
0.945910,0.978866,0.911449,0.980283,0.966602,0.974449,0.943956,0.893937
